blockNumber,timeStamp,hash,nonce,blockHash,sender,contractAddress,receiver,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,date,usd,usd_market_cap,usd_24h_vol,usd_24h_change,last_updated_at,last_updated,value_usd
3919706,2017-06-23 21:05:06,0xb28b5f2c186bf534e4fc4b8604b1496c9632e42269424f70ef1bdce61ea8ba52,251,0x0843e7258801b2bb6d58332fed2008d78d72966e4cc0a789e0f9babfd51a976f,0xc352b534e8b987e036a93539fd6897f53488e56a,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x5b098b00621eda6a96b7a476220661ad265f083f,1e-18,CRYPTOPUNKS,Ͼ,0,43,243227,50000000000,98227,1421539,deprecated,17689726,2017-06-23,,,,,,,
3919721,2017-06-23 21:10:32,0x65579455ac3227e7b3db72b4e359e988bb16cae6d26c88818d1a6991b478b274,253,0xc2d61bdefce88a4db47c4f9687a903f4dd552f23266359c49f46dd965c0c2e53,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0xc352b534e8b987e036a93539fd6897f53488e56a,1e-18,CRYPTOPUNKS,Ͼ,0,39,192954,50000000000,47954,1056928,deprecated,17689711,2017-06-23,,,,,,,
3919847,2017-06-23 21:46:53,0xd79cca9282c06a0edb8f9426aae734119f0f2ed0d9683dfe3723dc7814f5fccd,581,0xbff8425def2ad4d4e39e21ae93398cbb22714cb0a2feb6ebfe6750bf50cffe87,0xc352b534e8b987e036a93539fd6897f53488e56a,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x00bd9fd57c423a1b1c969823d409156d90974d77,1e-18,CRYPTOPUNKS,Ͼ,0,87,111178,50000000000,62648,2745678,deprecated,17689585,2017-06-23,,,,,,,
3919887,2017-06-23 21:57:45,0x03c36b107006386b2db0e77667cc3fd4321d036684383dff83e1be1b4e9ff455,12,0x053b1993f8a77842e1aba7e81f2ed8569cc429be2dfbf5886990e8255201461f,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x00bd3a6660309fb9e0129b9b777a9ccb9c2869dc,1e-18,CRYPTOPUNKS,Ͼ,0,3,129178,50000000000,77648,140648,deprecated,17689545,2017-06-23,,,,,,,
3919893,2017-06-23 22:00:12,0x85467bb2cbbdbea4542baa0307729e8a8c1a119dcf57e32c70a64f4b71668e75,13,0x5ec627d0109d4c2c15821a2beedabc0774f561562a074524c5f793aa5e260158,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x00bd3a6660309fb9e0129b9b777a9ccb9c2869dc,1e-18,CRYPTOPUNKS,Ͼ,0,25,93178,50000000000,47648,1154670,deprecated,17689539,2017-06-23,,,,,,,
3919904,2017-06-23 22:01:53,0xc9768dad5aca87c8eb402052b8653d164837568cadaea98a19cb344b3f5d27e2,14,0x798253bfdd51af7c0e033819cd3938dd21c8deccbc68c6c9fbe733510d95086e,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x00bd3a6660309fb9e0129b9b777a9ccb9c2869dc,1e-18,CRYPTOPUNKS,Ͼ,0,14,93178,50000000000,47648,523436,deprecated,17689528,2017-06-23,,,,,,,
3919906,2017-06-23 22:02:58,0x5da33c961e4acdf5bb0139cc6b03e5a18762dd55cf7b4f9d6aa601ede5d0321b,15,0x98c31925b115a04db3c0a26e4dee89c8a4b7671ea2f5bf13b53b9ffac846abdd,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x00bd3a6660309fb9e0129b9b777a9ccb9c2869dc,1e-18,CRYPTOPUNKS,Ͼ,0,32,93178,50000000000,47648,1461176,deprecated,17689526,2017-06-23,,,,,,,
3919916,2017-06-23 22:06:12,0xb7d3299fcb7e60f04f6630d7adcb2841e3f056e4501ac2d6474a8cc09982c9bc,2,0xdfec233f4d4d4ea0ca9066c89a324090b8be3adcf746b9bbfd7dd78e9f8cda7c,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x948a1032b31aa3a2273bb9deaaab07be09e7afe7,1e-18,CRYPTOPUNKS,Ͼ,0,20,192648,50000000000,77648,763409,deprecated,17689516,2017-06-23,,,,,,,
3919951,2017-06-23 22:14:08,0x8a346d456ba8776e398b3f1742a412d769f52b1f334a1eff1cbf3c9f50bfa282,19,0x56b0e3dc531bafd75a19d7b560a440d7b3248dd264064f0bce0c93c48212b124,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x00bd3a6660309fb9e0129b9b777a9ccb9c2869dc,1e-18,CRYPTOPUNKS,Ͼ,0,20,93178,50000000000,47648,935039,deprecated,17689481,2017-06-23,,,,,,,
3919959,2017-06-23 22:17:13,0xe3dd0733f82077a560d171bd3320c2bb9f3f4198cd6a14575958f1c11dc80d5a,20,0x81b4072a1c5af9c577f949bf24067dc91a0de14f00f70a1b917d553d5ceb4f71,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x00bd3a6660309fb9e0129b9b777a9ccb9c2869dc,1e-18,CRYPTOPUNKS,Ͼ,0,53,93178,50000000000,47648,3217805,deprecated,17689473,2017-06-23,,,,,,,
